ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,HT4CWJT00250,9203,24,29,20,2,9132
HT4CWJT00250,joaquim-MS-7996,1902,7,401,3,1,1510
HT4CWJT00250,joaquim-MS-7996,3202,13,463,1173,1,1550
HT4CWJT00250,joaquim-MS-7996,2975,5,254,1228,1,1479
HT4CWJT00250,joaquim-MS-7996,4357,16,419,2420,1,1459
HT4CWJT00250,joaquim-MS-7996,5694,14,442,3762,1,1464
HT4CWJT00250,joaquim-MS-7996,6906,12,291,5144,1,1456
HT4CWJT00250,joaquim-MS-7996,8106,6,199,6439,0,1452
HT4CWJT00250,joaquim-MS-7996,8903,6,104,7315,0,1473
HT4CWJT00250,joaquim-MS-7996,10248,11,175,8573,0,1481
HT4CWJT00250,joaquim-MS-7996,11276,5,188,9544,1,1532
HT4CWJT00250,HT4CWJT00250,12811,8,53,3729,4,9019
HT4CWJT00250,HT4CWJT00250,21532,12,11,12417,3,9090
HT4CWJT00250,HT4CWJT00250,29949,14,25,21136,2,8773
HT4CWJT00250,HT4CWJT00250,36926,8,49,27996,2,8903
HT4CWJT00250,HT4CWJT00250,45418,9,49,36462,2,8902
HT4CWJT00250,joaquim-MS-7996,7164,16,176,5445,1,1469
HT4CWJT00250,joaquim-MS-7996,7559,22,105,5955,1,1481
HT4CWJT00250,joaquim-MS-7996,8699,5,172,7056,0,1467
HT4CWJT00250,joaquim-MS-7996,9397,5,216,7676,0,1494
HT4CWJT00250,joaquim-MS-7996,9835,4,112,8260,1,1458
HT4CWJT00250,joaquim-MS-7996,11270,16,143,9617,1,1488
HT4CWJT00250,joaquim-MS-7996,12396,7,253,10563,1,1515
HT4CWJT00250,joaquim-MS-7996,13795,12,263,12053,0,1456
HT4CWJT00250,joaquim-MS-7996,15026,10,216,13371,1,1421
HT4CWJT00250,joaquim-MS-7996,16334,8,187,14658,1,1465
HT4CWJT00250,joaquim-MS-7996,17509,10,132,15914,1,1452
HT4CWJT00250,joaquim-MS-7996,18795,5,90,17170,0,1455
HT4CWJT00250,joaquim-MS-7996,19062,10,183,17408,0,1460
HT4CWJT00250,joaquim-MS-7996,19872,14,218,18150,0,1462
HT4CWJT00250,joaquim-MS-7996,20517,5,175,18833,1,1500
HT4CWJT00250,joaquim-MS-7996,20859,9,252,19006,1,1491
HT4CWJT00250,joaquim-MS-7996,21174,11,215,19480,0,1470
HT4CWJT00250,joaquim-MS-7996,22501,11,300,20758,0,1431
HT4CWJT00250,joaquim-MS-7996,23750,20,317,21912,0,1447
HT4CWJT00250,joaquim-MS-7996,25122,22,525,23089,1,1485
HT4CWJT00250,joaquim-MS-7996,26443,8,412,24524,1,1491
HT4CWJT00250,joaquim-MS-7996,26517,6,198,24834,0,1463
HT4CWJT00250,joaquim-MS-7996,26753,13,84,25175,0,1478
HT4CWJT00250,joaquim-MS-7996,27853,8,217,26118,0,1467
HT4CWJT00250,joaquim-MS-7996,28457,12,222,26761,1,1468
HT4CWJT00250,joaquim-MS-7996,29811,7,207,28061,0,1450
HT4CWJT00250,joaquim-MS-7996,30846,10,392,28950,1,1487
HT4CWJT00250,joaquim-MS-7996,32129,16,427,30255,1,1427
HT4CWJT00250,joaquim-MS-7996,33513,16,454,31571,1,1462
HT4CWJT00250,joaquim-MS-7996,34930,9,429,33008,0,1473
HT4CWJT00250,joaquim-MS-7996,34619,6,175,32928,0,1470
HT4CWJT00250,joaquim-MS-7996,33501,15,97,31930,0,1454
HT4CWJT00250,HT4CWJT00250,32806,4,15,23818,2,8972
HT4CWJT00250,HT4CWJT00250,41422,7,30,32244,3,9139
HT4CWJT00250,HT4CWJT00250,49809,5,103,40930,4,8803
HT4CWJT00250,HT4CWJT00250,58486,5,53,49382,3,9041
HT4CWJT00250,HT4CWJT00250,67290,4,11,58289,2,8983
HT4CWJT00250,HT4CWJT00250,75438,5,49,66513,2,8891
HT4CWJT00250,HT4CWJT00250,83571,5,48,74452,5,9061
HT4CWJT00250,HT4CWJT00250,91962,9,10,82609,2,9335
HT4CWJT00250,joaquim-MS-7996,29533,6,111,27864,0,1471
HT4CWJT00250,joaquim-MS-7996,30306,8,140,28642,0,1469
HT4CWJT00250,joaquim-MS-7996,30788,51,172,29084,1,1480
HT4CWJT00250,joaquim-MS-7996,32070,14,57,30517,0,1478
HT4CWJT00250,joaquim-MS-7996,32466,15,143,30718,1,1481
HT4CWJT00250,joaquim-MS-7996,33635,11,92,32103,1,1427
HT4CWJT00250,joaquim-MS-7996,34407,5,171,32777,1,1454
HT4CWJT00250,joaquim-MS-7996,35900,8,153,34208,1,1451
HT4CWJT00250,joaquim-MS-7996,36878,6,105,35305,0,1457
HT4CWJT00250,joaquim-MS-7996,37978,9,67,36413,1,1471
HT4CWJT00250,joaquim-MS-7996,38917,6,108,37345,1,1452
HT4CWJT00250,joaquim-MS-7996,40103,5,149,38426,0,1473
HT4CWJT00250,joaquim-MS-7996,41413,6,88,39834,1,1482
HT4CWJT00250,joaquim-MS-7996,41797,9,139,40189,0,1458
HT4CWJT00250,joaquim-MS-7996,43218,55,136,41595,0,1431
HT4CWJT00250,joaquim-MS-7996,43971,6,151,42294,0,1460
HT4CWJT00250,joaquim-MS-7996,42482,12,154,40818,1,1461
HT4CWJT00250,joaquim-MS-7996,43576,15,83,42014,0,1463
HT4CWJT00250,joaquim-MS-7996,44294,11,124,42619,1,1448
HT4CWJT00250,joaquim-MS-7996,43732,7,147,42050,1,1461
HT4CWJT00250,joaquim-MS-7996,44644,18,122,43027,0,1472
HT4CWJT00250,joaquim-MS-7996,45925,6,87,44377,1,1452
HT4CWJT00250,joaquim-MS-7996,46618,15,119,44942,0,1459
HT4CWJT00250,joaquim-MS-7996,47793,11,53,46280,1,1442
HT4CWJT00250,joaquim-MS-7996,49202,12,75,47608,0,1450
HT4CWJT00250,joaquim-MS-7996,49651,15,146,48008,1,1471
HT4CWJT00250,joaquim-MS-7996,50525,9,97,48864,1,1461
HT4CWJT00250,joaquim-MS-7996,51668,12,68,50135,0,1451
HT4CWJT00250,joaquim-MS-7996,50676,8,94,49073,1,1464
HT4CWJT00250,joaquim-MS-7996,51936,9,136,50334,0,1470
HT4CWJT00250,joaquim-MS-7996,53376,6,94,51730,0,1458
HT4CWJT00250,joaquim-MS-7996,54269,16,180,52557,0,1485
HT4CWJT00250,joaquim-MS-7996,54528,11,121,52966,0,1426
HT4CWJT00250,joaquim-MS-7996,53038,11,216,51345,0,1472
HT4CWJT00250,joaquim-MS-7996,54279,6,65,52760,0,1446
HT4CWJT00250,joaquim-MS-7996,55463,5,127,53807,1,1466
HT4CWJT00250,joaquim-MS-7996,56662,13,102,55054,1,1467
HT4CWJT00250,joaquim-MS-7996,56412,11,88,54750,0,1481
HT4CWJT00250,joaquim-MS-7996,56378,9,131,54773,0,1466
HT4CWJT00250,joaquim-MS-7996,57824,13,173,56172,1,1467
HT4CWJT00250,joaquim-MS-7996,58041,50,270,56181,1,1467
HT4CWJT00250,joaquim-MS-7996,59377,11,272,57625,0,1473
HT4CWJT00250,joaquim-MS-7996,60622,17,123,59010,0,1425
HT4CWJT00250,joaquim-MS-7996,60286,6,116,58706,0,1456
HT4CWJT00250,joaquim-MS-7996,61676,7,69,60040,0,1458
HT4CWJT00250,joaquim-MS-7996,62959,10,127,61354,0,1461
HT4CWJT00250,joaquim-MS-7996,63345,10,121,61739,1,1468
HT4CWJT00250,joaquim-MS-7996,64532,5,120,62938,1,1472
HT4CWJT00250,joaquim-MS-7996,65969,8,160,64341,0,1462
HT4CWJT00250,joaquim-MS-7996,67306,10,154,65695,0,1441
HT4CWJT00250,joaquim-MS-7996,68713,9,232,67026,1,1448
HT4CWJT00250,joaquim-MS-7996,70088,6,141,68453,0,1453
HT4CWJT00250,HT4CWJT00250,65060,6,30,55942,2,9097
HT4CWJT00250,HT4CWJT00250,74031,8,22,64917,2,9092
HT4CWJT00250,HT4CWJT00250,82882,11,14,73271,3,9582
HT4CWJT00250,HT4CWJT00250,91807,13,47,82347,1,9434
HT4CWJT00250,HT4CWJT00250,101391,5,9,91716,4,9616
HT4CWJT00250,HT4CWJT00250,110939,7,56,101254,1,9657
HT4CWJT00250,HT4CWJT00250,119843,7,27,110821,3,8995
HT4CWJT00250,HT4CWJT00250,127846,9,85,118898,8,8886
HT4CWJT00250,joaquim-MS-7996,64072,9,114,62481,1,1459
HT4CWJT00250,joaquim-MS-7996,65297,9,115,63726,1,1455
HT4CWJT00250,joaquim-MS-7996,66582,9,86,64968,0,1444
HT4CWJT00250,joaquim-MS-7996,65603,8,115,63968,1,1454
HT4CWJT00250,joaquim-MS-7996,66750,8,97,65168,0,1471
HT4CWJT00250,joaquim-MS-7996,67772,9,86,66123,1,1457
HT4CWJT00250,joaquim-MS-7996,68520,5,177,66890,1,1456
HT4CWJT00250,joaquim-MS-7996,69898,6,115,68270,0,1478
HT4CWJT00250,joaquim-MS-7996,71151,11,117,69594,0,1436
HT4CWJT00250,joaquim-MS-7996,72695,49,112,70984,1,1447
HT4CWJT00250,joaquim-MS-7996,73929,9,60,72393,0,1462
HT4CWJT00250,joaquim-MS-7996,75118,14,112,73476,0,1462
HT4CWJT00250,joaquim-MS-7996,75149,6,98,73560,0,1480
HT4CWJT00250,joaquim-MS-7996,75942,5,127,74328,0,1474
HT4CWJT00250,joaquim-MS-7996,76181,5,133,74539,1,1468
HT4CWJT00250,joaquim-MS-7996,76379,13,169,74731,1,1460
HT4CWJT00250,joaquim-MS-7996,76806,11,205,75146,0,1448
HT4CWJT00250,joaquim-MS-7996,78138,5,103,76575,1,1439
HT4CWJT00250,joaquim-MS-7996,78187,5,123,76536,0,1442
HT4CWJT00250,joaquim-MS-7996,79411,11,115,77798,0,1453
HT4CWJT00250,joaquim-MS-7996,78669,14,106,77084,0,1462
HT4CWJT00250,joaquim-MS-7996,80093,5,131,78387,1,1468
HT4CWJT00250,joaquim-MS-7996,81335,9,70,79774,0,1480
HT4CWJT00250,joaquim-MS-7996,81711,14,166,80028,1,1474
HT4CWJT00250,joaquim-MS-7996,82766,6,121,81093,1,1461
HT4CWJT00250,joaquim-MS-7996,83797,9,91,82230,0,1461
HT4CWJT00250,joaquim-MS-7996,84885,5,119,83266,0,1450
HT4CWJT00250,joaquim-MS-7996,84247,8,105,82683,1,1449
HT4CWJT00250,joaquim-MS-7996,84584,10,207,82892,0,1478
HT4CWJT00250,joaquim-MS-7996,85884,7,78,84311,1,1483
HT4CWJT00250,joaquim-MS-7996,86094,12,111,84484,0,1481
HT4CWJT00250,joaquim-MS-7996,86701,40,182,85020,0,1465
HT4CWJT00250,joaquim-MS-7996,85276,22,124,83610,1,1470
HT4CWJT00250,joaquim-MS-7996,88154,35,161,86401,0,1461
HT4CWJT00250,joaquim-MS-7996,88661,5,157,86985,1,1434
HT4CWJT00250,joaquim-MS-7996,87608,8,95,86071,1,1433
HT4CWJT00250,joaquim-MS-7996,87987,6,97,86437,0,1445
HT4CWJT00250,joaquim-MS-7996,87959,5,77,86360,0,1450
HT4CWJT00250,joaquim-MS-7996,87541,10,144,85893,0,1463
HT4CWJT00250,joaquim-MS-7996,88906,15,119,87324,0,1452
HT4CWJT00250,joaquim-MS-7996,90357,16,64,88725,0,1447
HT4CWJT00250,joaquim-MS-7996,91692,10,81,90090,0,1512
HT4CWJT00250,joaquim-MS-7996,93103,9,156,91372,1,1454
HT4CWJT00250,joaquim-MS-7996,93983,16,73,92454,1,1438
HT4CWJT00250,HT4CWJT00250,98742,9,19,89839,1,8881
HT4CWJT00250,HT4CWJT00250,106944,6,19,97930,2,8991
HT4CWJT00250,HT4CWJT00250,115485,17,53,106470,6,8969
HT4CWJT00250,HT4CWJT00250,123630,5,57,114638,4,8969
HT4CWJT00250,HT4CWJT00250,131171,5,16,122120,3,9028
HT4CWJT00250,joaquim-MS-7996,87651,44,132,85940,0,1426
HT4CWJT00250,joaquim-MS-7996,88973,9,191,87248,0,1449
HT4CWJT00250,joaquim-MS-7996,90351,5,173,88643,1,1463
HT4CWJT00250,joaquim-MS-7996,91127,10,100,89521,0,1461
HT4CWJT00250,joaquim-MS-7996,91134,10,86,89579,0,1452
HT4CWJT00250,joaquim-MS-7996,92036,7,161,90316,0,1455
HT4CWJT00250,joaquim-MS-7996,92604,6,112,91013,0,1467
HT4CWJT00250,joaquim-MS-7996,93885,8,69,92311,1,1443
HT4CWJT00250,joaquim-MS-7996,95013,15,121,93422,0,1457
HT4CWJT00250,joaquim-MS-7996,95722,25,212,94040,0,1432
HT4CWJT00250,joaquim-MS-7996,98610,11,314,96837,1,1447
HT4CWJT00250,joaquim-MS-7996,97034,12,141,95359,0,1473
HT4CWJT00250,joaquim-MS-7996,99722,16,75,98112,1,1461
HT4CWJT00250,joaquim-MS-7996,100123,12,156,98465,0,1455
HT4CWJT00250,joaquim-MS-7996,99880,6,146,98271,0,1456
HT4CWJT00250,joaquim-MS-7996,101292,9,88,99648,1,1449
HT4CWJT00250,joaquim-MS-7996,101856,5,133,100254,0,1458
HT4CWJT00250,joaquim-MS-7996,102211,18,100,100637,0,1453
HT4CWJT00250,joaquim-MS-7996,103496,13,57,101937,1,1446
HT4CWJT00250,joaquim-MS-7996,101597,20,160,99976,1,1440
HT4CWJT00250,joaquim-MS-7996,102293,16,147,100662,1,1442
HT4CWJT00250,joaquim-MS-7996,103399,17,131,101691,1,1470
HT4CWJT00250,joaquim-MS-7996,104239,6,138,102577,0,1451
HT4CWJT00250,joaquim-MS-7996,105616,6,145,103994,0,1461
HT4CWJT00250,joaquim-MS-7996,105833,17,132,104220,0,1461
HT4CWJT00250,joaquim-MS-7996,107208,8,85,105562,1,1467
HT4CWJT00250,joaquim-MS-7996,106411,11,151,104797,0,1446
HT4CWJT00250,joaquim-MS-7996,107603,9,125,105965,1,1465
HT4CWJT00250,joaquim-MS-7996,107869,9,105,106341,0,1419
HT4CWJT00250,joaquim-MS-7996,109279,11,106,107675,0,1453
HT4CWJT00250,joaquim-MS-7996,109770,6,93,108202,0,1448
HT4CWJT00250,joaquim-MS-7996,111154,7,74,109513,1,1460
HT4CWJT00250,joaquim-MS-7996,111612,6,122,109953,1,1454
HT4CWJT00250,HT4CWJT00250,113835,13,22,104783,6,9014
HT4CWJT00250,HT4CWJT00250,122250,5,9,113213,3,9020
HT4CWJT00250,HT4CWJT00250,128455,6,13,119434,2,9003
HT4CWJT00250,HT4CWJT00250,137260,5,17,128266,4,8970
HT4CWJT00250,HT4CWJT00250,145871,7,19,136724,2,9123
HT4CWJT00250,joaquim-MS-7996,107102,11,145,105445,1,1446
HT4CWJT00250,joaquim-MS-7996,108498,47,130,106827,0,1441
HT4CWJT00250,joaquim-MS-7996,109739,8,68,108198,0,1461
HT4CWJT00250,joaquim-MS-7996,110882,19,107,109202,0,1450
HT4CWJT00250,joaquim-MS-7996,111957,15,141,110360,1,1431
HT4CWJT00250,joaquim-MS-7996,112984,14,78,111403,1,1440
HT4CWJT00250,joaquim-MS-7996,111528,12,83,109975,1,1442
HT4CWJT00250,joaquim-MS-7996,111924,13,223,110236,1,1451
HT4CWJT00250,joaquim-MS-7996,113313,7,154,111639,0,1450
HT4CWJT00250,joaquim-MS-7996,114395,6,54,112839,0,1463
HT4CWJT00250,joaquim-MS-7996,115025,5,195,113373,0,1456
HT4CWJT00250,joaquim-MS-7996,116471,6,113,114804,0,1454
HT4CWJT00250,joaquim-MS-7996,115509,19,126,113941,0,1425
HT4CWJT00250,joaquim-MS-7996,116895,10,220,115223,1,1445
HT4CWJT00250,joaquim-MS-7996,118102,4,80,116574,1,1441
HT4CWJT00250,joaquim-MS-7996,117789,5,101,116231,0,1449
HT4CWJT00250,joaquim-MS-7996,118884,13,224,117143,1,1456
HT4CWJT00250,joaquim-MS-7996,119766,5,197,118023,1,1469
HT4CWJT00250,joaquim-MS-7996,120214,17,250,118409,1,1450
HT4CWJT00250,joaquim-MS-7996,121477,6,250,119748,0,1469
HT4CWJT00250,joaquim-MS-7996,122693,9,181,121018,0,1454
HT4CWJT00250,joaquim-MS-7996,123569,18,119,121961,0,1443
HT4CWJT00250,joaquim-MS-7996,124606,6,132,123038,1,1425
HT4CWJT00250,joaquim-MS-7996,124764,14,201,123101,0,1444
HT4CWJT00250,joaquim-MS-7996,125659,17,171,123998,1,1468
HT4CWJT00250,joaquim-MS-7996,125943,6,186,124231,1,1454
HT4CWJT00250,joaquim-MS-7996,127171,7,75,125619,1,1466
HT4CWJT00250,joaquim-MS-7996,128491,5,144,126872,1,1451
HT4CWJT00250,joaquim-MS-7996,129755,4,93,128104,1,1447
HT4CWJT00250,joaquim-MS-7996,130514,13,176,128791,1,1447
HT4CWJT00250,joaquim-MS-7996,131370,12,198,129639,1,1465
HT4CWJT00250,joaquim-MS-7996,132707,11,328,130941,1,1423
HT4CWJT00250,HT4CWJT00250,134521,16,86,124982,4,9440
HT4CWJT00250,HT4CWJT00250,143390,14,102,133944,4,9373
HT4CWJT00250,HT4CWJT00250,150095,13,57,140390,5,9663
HT4CWJT00250,HT4CWJT00250,159106,14,81,149726,3,9318
HT4CWJT00250,HT4CWJT00250,168374,6,14,158913,1,9445
HT4CWJT00250,HT4CWJT00250,177180,5,54,167873,4,9280
HT4CWJT00250,joaquim-MS-7996,128786,11,91,127183,0,1442
HT4CWJT00250,joaquim-MS-7996,129898,16,185,128232,1,1460
HT4CWJT00250,joaquim-MS-7996,130454,6,80,128904,0,1452
HT4CWJT00250,joaquim-MS-7996,131876,47,101,130271,1,1456
HT4CWJT00250,joaquim-MS-7996,133254,17,217,131507,1,1454
HT4CWJT00250,joaquim-MS-7996,134653,9,224,132916,0,1456
HT4CWJT00250,joaquim-MS-7996,135861,13,95,134298,0,1454
HT4CWJT00250,joaquim-MS-7996,136695,14,124,135102,0,1456
HT4CWJT00250,joaquim-MS-7996,138030,13,85,136389,1,1439
HT4CWJT00250,joaquim-MS-7996,139202,5,57,137606,1,1432
HT4CWJT00250,joaquim-MS-7996,139994,7,98,138436,0,1450
HT4CWJT00250,joaquim-MS-7996,140931,9,128,139337,0,1456
HT4CWJT00250,joaquim-MS-7996,141543,13,114,139950,0,1456
HT4CWJT00250,joaquim-MS-7996,142333,43,80,140735,0,1469
HT4CWJT00250,joaquim-MS-7996,142874,12,125,141270,0,1446
HT4CWJT00250,joaquim-MS-7996,144238,16,84,142610,1,1453
HT4CWJT00250,joaquim-MS-7996,144981,11,122,143348,1,1450
HT4CWJT00250,joaquim-MS-7996,146365,7,164,144706,0,1447
HT4CWJT00250,joaquim-MS-7996,147471,6,123,145910,1,1430
HT4CWJT00250,joaquim-MS-7996,147760,14,78,146225,0,1436
HT4CWJT00250,joaquim-MS-7996,148327,11,406,146435,1,1454
HT4CWJT00250,joaquim-MS-7996,149637,12,367,147808,1,1445
HT4CWJT00250,joaquim-MS-7996,150312,13,200,148552,0,1462
HT4CWJT00250,joaquim-MS-7996,151086,10,116,149513,1,1444
HT4CWJT00250,joaquim-MS-7996,152543,10,219,150808,1,1448
HT4CWJT00250,joaquim-MS-7996,153741,16,302,151936,0,1457
HT4CWJT00250,joaquim-MS-7996,155134,54,277,153339,0,1441
HT4CWJT00250,joaquim-MS-7996,156366,14,230,154661,1,1430
HT4CWJT00250,joaquim-MS-7996,156738,7,102,155169,1,1455
HT4CWJT00250,joaquim-MS-7996,157071,5,112,155413,1,1451
HT4CWJT00250,joaquim-MS-7996,158296,20,123,156691,0,1455
HT4BTJT00078,HT4BTJT00078,9157,21,102,13,2,9041
HT4BTJT00078,joaquim-MS-7996,1727,16,125,4,1,1531
HT4BTJT00078,joaquim-MS-7996,3013,15,119,1291,1,1516
HT4BTJT00078,joaquim-MS-7996,2705,6,148,1059,0,1495
HT4BTJT00078,joaquim-MS-7996,4048,6,114,2449,1,1465
HT4BTJT00078,joaquim-MS-7996,5394,9,107,3795,1,1479
HT4BTJT00078,joaquim-MS-7996,6643,6,77,5089,1,1461
HT4BTJT00078,joaquim-MS-7996,7874,6,96,6282,1,1480
HT4BTJT00078,joaquim-MS-7996,8706,6,82,7131,0,1484
HT4BTJT00078,joaquim-MS-7996,10011,6,114,8441,1,1445
HT4BTJT00078,joaquim-MS-7996,11044,6,103,9403,1,1457
HT4BTJT00078,joaquim-MS-7996,11959,6,66,10425,0,1457
HT4BTJT00078,joaquim-MS-7996,13000,14,85,11422,0,1469
HT4BTJT00078,HT4BTJT00078,11856,5,29,2880,2,8949
